deviceId,date,month,hour,TC,HUM,LW,PLV2,farmId,crop name
ZT1FC3FS,25-01-2021,1,14,27.13,33.03,0,0,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,25-01-2021,1,15,26.11,34.665,0,0,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,25-01-2021,1,16,23.625,40.94,0,0,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,25-01-2021,1,17,18.43,57.315,0,0,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,25-01-2021,1,18,14.065,68.265,0,0,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,25-01-2021,1,19,12.335,73.19,0,0,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,25-01-2021,1,20,10.46,80.71,0,0,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,25-01-2021,1,21,9.755,78.885,0,0,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,25-01-2021,1,22,8.405,82.05,0,0,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,25-01-2021,1,23,7.66,82.78,0,0,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,26-01-2021,1,0,6.4,87.815,0,0,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,26-01-2021,1,1,5.785,88.995,0,0,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,26-01-2021,1,2,5.315,90.935,0,0,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,26-01-2021,1,3,4.465,93.235,0,0,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,26-01-2021,1,4,4.39,95.06,0,0,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,26-01-2021,1,5,3.75,95.71,0,0,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,26-01-2021,1,6,3.465,96.41,6,0,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,26-01-2021,1,7,5.24,93.86,7.5,0,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,26-01-2021,1,8,10.855,71.6,0,0,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,26-01-2021,1,9,15.245,63.65,0,0,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,26-01-2021,1,10,17.95,53.88,0,0,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,26-01-2021,1,11,20.985,45.215,0,0,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,26-01-2021,1,12,23.35,40.18,0,0,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,26-01-2021,1,13,25.055,35.295,0,0,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,26-01-2021,1,14,25.805,34.71,0,0,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,26-01-2021,1,15,25.255,38.09,0,0,2CkGqcWtBndq5pHCh,Pomegranate
